CHR	BP1	BP2	PRB	GEN	HWU_P	NWU_P	PWU_P	GEN_P
1	518567	531272	GI_39725639-I	CPSF3L	1.22E-01	1.16E-01	1.35E-01	0.1391813345
1	680750	705301	GI_34147726-S	ATAD3B	8.60E-01	9.12E-01	2.98E-01	0.1256024438
1	720811	743664	GI_42476027-S	ATAD3A	2.30E-02	5.11E-01	2.09E-02	0.9714466285
1	750686	783938	GI_7661831-S	SSU72	9.59E-02	8.08E-02	2.33E-01	0.4598685615
1	824580	841846	GI_21264329-S	MIB2	8.72E-01	7.34E-01	8.18E-01	0.3198049264
1	839060	867349	GI_16332359-A	CDK11B	9.08E-01	7.16E-01	9.06E-01	0.5158470754
1	843417	845887	GI_5902003-S	MMP23B	6.45E-01	6.85E-01	4.95E-01	0.0129938105
1	848155	866997	GI_22749012-S	SAMD11	5.64E-01	4.82E-01	4.95E-01	0.7190325443
1	866619	881719	GI_7661605-S	NOC2L	6.95E-01	6.92E-01	5.52E-01	0.4409666507
1	883012	888029	GI_38194228-S	KLHL17	2.55E-01	7.48E-01	1.36E-01	0.1042690584
1	921200	922410	GI_20127596-S	HES4	8.89E-02	2.42E-01	7.20E-02	0.0002744752
1	925741	944581	GI_22749012-S	SAMD11	6.40E-01	1.73E-01	9.45E-01	0.3551886521
1	932567	953706	GI_33469136-I	SLC35E2	1.99E-02	9.58E-02	2.42E-02	0.3171658103
1	935863	936936	GI_4826773-S	ISG15	2.46E-02	4.76E-02	6.96E-02	0.905572205
1	944203	959299	GI_7661605-S	NOC2L	4.66E-01	9.91E-02	9.74E-01	0.4160208624
1	958943	988065	GI_20070325-S	NADK	7.85E-01	6.69E-01	6.91E-01	0.7591956466
1	960587	965719	GI_38194228-S	KLHL17	4.52E-01	1.09E-01	9.47E-01	0.1416430375
1	993369	1099511	GI_20357526-S	GNB1	5.15E-01	4.49E-02	9.86E-01	0.9213251414
1	998962	1001224	GI_20127596-S	HES4	2.58E-01	2.12E-01	3.23E-01	0.0060059702
1	1013467	1014540	GI_4826773-S	ISG15	2.98E-01	4.73E-01	2.07E-01	0.8966688301
1	1123248	1125717	GI_20162573-S	CALML6	2.20E-01	6.65E-01	1.39E-01	0.3040561573
1	1125362	1128563	GI_23238193-A	TNFRSF18	1.37E-01	6.37E-01	8.68E-02	0.6903690354
1	1126011	1127713	GI_31341734-S	TMEM52	6.17E-01	6.42E-01	4.81E-01	0.0260287133
1	1133180	1136022	GI_23312366-S	TNFRSF4	8.84E-01	6.83E-01	8.59E-01	0.7314783137
1	1138762	1153919	GI_18699731-A	SDF4	5.19E-01	4.44E-01	4.53E-01	0.081947164
1	1154101	1157447	GI_37537720-S	B3GALT6	2.10E-01	7.57E-01	6.14E-02	0.000007776
1	1175791	1196283	GI_37577129-A	UBE2J2	9.09E-01	8.92E-01	6.85E-01	0.0241178271
1	1203508	1206709	GI_23238193-A	TNFRSF18	4.82E-01	6.48E-01	3.37E-01	0.9337938255
1	1211326	1214168	GI_23312366-S	TNFRSF4	2.60E-01	1.33E-01	4.67E-01	0.3259510411
1	1213463	1228970	GI_16945965-S	ACAP3	8.81E-01	5.99E-01	8.87E-01	0.064495291
1	1216908	1232067	GI_18699731-A	SDF4	4.47E-01	4.34E-01	4.09E-01	0.5906243055
1	1231025	1234088	GI_23503258-S	PUSL1	2.64E-01	5.07E-01	1.90E-01	0.2095301142
1	1232249	1235041	GI_37537720-S	B3GALT6	2.18E-01	4.71E-01	1.70E-01	0.9218055982
1	1233788	1239603	GI_34734070-S	GABRD	8.21E-01	6.15E-01	7.53E-01	0.9277064886
1	1233996	1247095	GI_39725639-I	CPSF3L	5.32E-02	5.66E-01	2.91E-02	0.3030131205
1	1253912	1273854	GI_37577129-A	UBE2J2	9.07E-01	6.95E-01	8.60E-01	0.3837743999
